Date,Open,High,Low,Close,Volume
2025-02-28,3.985,4.05,3.48,3.97,9628400
2025-03-03,3.96,4.04,3.625,3.64,7547300
2025-03-04,3.46,3.855,3.46,3.72,10218700
2025-03-05,3.73,3.88,3.72,3.83,5198500
2025-03-06,3.72,3.83,3.61,3.67,8670000
2025-03-07,3.63,3.77,3.525,3.64,6484900
2025-03-10,3.5,3.6,3.31,3.39,10659000
2025-03-11,3.36,3.5,3.225,3.36,7394300
2025-03-12,3.49,3.68,3.44,3.61,8589800
2025-03-13,3.6,3.705,3.4,3.46,5621100
2025-03-14,3.52,3.7,3.501,3.66,5221600
2025-03-17,3.66,3.74,3.56,3.7,3972300
2025-03-18,3.7,3.83,3.6,3.81,6555700
2025-03-19,3.74,3.805,3.65,3.71,4625000
2025-03-20,3.69,3.76,3.625,3.66,3047900
2025-03-21,3.59,3.725,3.54,3.72,4654700
2025-03-24,3.78,3.85,3.72,3.81,3598700
2025-03-25,3.81,3.91,3.77,3.87,4325800
2025-03-26,3.87,3.9,3.7,3.73,3025000
2025-03-27,3.7,3.84,3.675,3.7,4664100
2025-03-28,3.67,3.7,3.495,3.59,5052500
2025-03-31,3.46,3.62,3.44,3.59,5548200
2025-04-01,3.55,3.7,3.53,3.59,4629100
2025-04-02,3.5,3.61,3.5,3.59,4290500
2025-04-03,3.4,3.595,3.39,3.51,5427700
2025-04-04,3.41,3.48,3.22,3.33,7041500
2025-04-07,3.05,3.32,2.8,3.21,11741900
2025-04-08,3.46,3.59,3.365,3.47,11576200
2025-04-09,3.41,3.7,3.28,3.63,10739100
2025-04-10,3.58,3.8,3.55,3.67,6519500
2025-04-11,3.67,3.745,3.57,3.68,5042500
2025-04-14,3.77,3.78,3.571,3.66,5490400
2025-04-15,3.68,3.73,3.57,3.72,4848900
2025-04-16,3.71,3.746,3.64,3.69,3466300
2025-04-17,3.63,3.685,3.56,3.6,3942200
2025-04-21,3.57,3.584,3.24,3.32,5279800
2025-04-22,3.35,3.43,3.34,3.38,3511100
2025-04-23,3.45,3.54,3.404,3.46,4607900
2025-04-24,3.47,3.49,3.42,3.47,6765000
2025-04-25,3.47,3.475,3.36,3.43,5730300
2025-04-28,3.43,3.52,3.41,3.47,4423300
2025-04-29,3.47,3.48,3.39,3.45,3900600
2025-04-30,3.38,3.4,3.32,3.4,3563400
2025-05-01,3.4,3.4,3.3,3.32,4478100
2025-05-02,3.36,3.4,3.25,3.34,5012300
2025-05-05,3.34,3.39,3.3,3.35,3612900
2025-05-06,3.35,3.37,3.26,3.35,4436100
2025-05-07,3.445,3.9,3.4,3.77,12909400
2025-05-08,3.82,3.89,3.71,3.75,6946000
2025-05-09,3.8,3.81,3.48,3.51,7676100
2025-05-12,3.6,3.66,3.46,3.47,6713100
2025-05-13,3.48,3.48,3.34,3.4,8727600
2025-05-14,3.41,3.455,3.3,3.31,6277400
2025-05-15,3.3,3.42,3.17,3.41,7906900
2025-05-16,3.41,3.58,3.405,3.55,5306200
2025-05-19,3.5,3.63,3.441,3.6,5489800
2025-05-20,3.6,3.74,3.6,3.69,5442600
2025-05-21,3.63,3.68,3.52,3.52,5688900
2025-05-22,3.52,3.525,3.28,3.28,8835900
2025-05-23,3.26,3.27,3.16,3.19,7538200
2025-05-27,3.24,3.28,3.18,3.21,6374900
2025-05-28,3.2,3.24,3.12,3.13,4454400
2025-05-29,3.15,3.21,3.09,3.13,5968600
2025-05-30,3.12,3.2,3.08,3.14,7534700
2025-06-02,3.14,3.19,3.08,3.17,5186400
2025-06-03,3.16,3.18,3.08,3.1,5309900
2025-06-04,3.11,3.15,3.06,3.08,4240900
2025-06-05,3.06,3.1,3.01,3.02,3840500
2025-06-06,3.03,3.07,3.01,3.055,4749700
2025-06-09,3.07,3.1,2.97,2.98,5098100
2025-06-10,2.98,3.03,2.955,2.99,4312100
2025-06-11,3.0,3.05,2.96,2.97,5047200
2025-06-12,2.95,2.97,2.88,2.93,5569300
2025-06-13,2.87,2.915,2.85,2.885,6294100
2025-06-16,2.9,3.01,2.88,2.92,6043900
2025-06-17,2.92,2.92,2.81,2.83,5261000
2025-06-18,2.84,3.01,2.8,2.97,8016600
2025-06-20,3.02,3.16,3.0,3.02,11042100
2025-06-23,2.97,2.98,2.78,2.83,10297200
2025-06-24,2.86,2.86,2.71,2.84,11277900
2025-06-25,2.86,2.9,2.72,2.74,7049800
2025-06-26,2.765,2.795,2.73,2.79,6477600
2025-06-27,2.8,2.815,2.683,2.76,65195000
2025-06-30,2.77,2.865,2.76,2.79,7478600
2025-07-01,2.77,2.8,2.69,2.75,7785900
2025-07-02,2.73,2.77,2.57,2.59,11127400
2025-07-03,2.59,2.64,2.54,2.56,4315700
2025-07-07,2.67,2.92,2.63,2.89,22210700
2025-07-08,3.055,3.278,2.97,3.05,19068800
2025-07-09,3.12,3.25,3.07,3.17,12992000
2025-07-10,3.185,3.2,3.03,3.05,8856500
2025-07-11,3.01,3.02,2.86,2.92,11162100
2025-07-14,2.92,3.06,2.91,3.0,6422000
2025-07-15,3.05,3.05,2.93,2.98,5557600
2025-07-16,2.98,3.03,2.902,3.02,6854300
2025-07-17,3.01,3.13,2.97,3.01,6272100
2025-07-18,3.06,3.06,2.93,2.94,7369400
2025-07-21,2.96,3.24,2.93,3.11,11989700
2025-07-22,3.34,3.385,3.141,3.22,12099700
2025-07-23,3.22,3.49,3.15,3.41,15978700
2025-07-24,3.42,3.535,3.06,3.075,14330900
2025-07-25,3.08,3.1,3.01,3.035,6233000
2025-07-28,3.03,3.05,2.91,3.0,7832800
2025-07-29,2.99,3.005,2.88,2.89,5534900
2025-07-30,2.905,2.97,2.87,2.9,5561500
2025-07-31,2.895,3.0,2.88,2.89,5112900
2025-08-01,2.89,2.9,2.76,2.78,7409600
2025-08-04,2.82,2.94,2.781,2.88,6641100
2025-08-05,2.9,2.97,2.83,2.85,14174100
2025-08-06,2.33,2.39,2.13,2.26,30057000
2025-08-07,2.29,2.33,2.16,2.21,12779200
2025-08-08,2.21,2.215,2.12,2.18,11873900
2025-08-11,2.34,2.53,2.34,2.47,12003600
2025-08-12,2.45,2.52,2.425,2.5,6349900
2025-08-13,2.54,2.67,2.505,2.62,8651700
2025-08-14,2.57,2.625,2.51,2.57,6151800
2025-08-15,2.61,2.725,2.585,2.65,7024600
2025-08-18,2.62,2.71,2.61,2.61,5694600
2025-08-19,2.62,2.63,2.47,2.52,8402200
2025-08-20,2.52,2.55,2.47,2.54,3295500
2025-08-21,2.51,2.65,2.51,2.61,3993300
2025-08-22,2.61,2.745,2.6,2.73,5667700
2025-08-25,2.72,2.81,2.635,2.645,4499000
2025-08-26,2.645,2.696,2.64,2.67,3494900
2025-08-27,2.65,2.707,2.64,2.69,3335900
2025-08-28,2.7,2.7,2.61,2.63,2825800
2025-08-29,2.64,2.646,2.57,2.62,2868600
2025-09-02,2.59,2.7,2.59,2.69,5150200
2025-09-03,2.68,2.69,2.63,2.66,3683100
2025-09-04,2.65,2.71,2.63,2.69,3389700
2025-09-05,2.72,2.8,2.695,2.75,4056400
2025-09-08,2.77,2.82,2.73,2.74,6920400
2025-09-09,2.74,2.89,2.73,2.89,4674700
2025-09-10,2.93,3.05,2.87,3.02,8877400
2025-09-11,3.06,3.24,3.03,3.14,7336900
2025-09-12,3.14,3.143,3.0,3.06,4941700
2025-09-15,3.095,3.15,3.03,3.14,5858900
2025-09-16,3.16,3.16,3.08,3.12,3857000
2025-09-17,3.12,3.17,3.06,3.07,4209800
2025-09-18,3.07,3.12,3.03,3.07,3807700
2025-09-19,3.08,3.11,3.015,3.03,7446300
2025-09-22,3.03,3.04,2.97,3.0,5538500
2025-09-23,3.01,3.34,2.99,3.25,8982400
2025-09-24,3.26,3.35,3.22,3.22,5120900
2025-09-25,3.15,3.18,3.06,3.16,6781100
2025-09-26,3.16,3.26,3.13,3.2,3360400
2025-09-29,3.2,3.23,3.1,3.12,3164900
2025-09-30,3.1,3.15,3.03,3.06,4361000
2025-10-01,3.03,3.06,2.62,2.62,52412200
2025-10-02,2.69,2.7,2.515,2.53,15093400
2025-10-03,2.52,2.645,2.51,2.59,10288500
2025-10-06,2.61,2.779,2.55,2.62,13440900
2025-10-07,2.65,2.81,2.64,2.7,15559600
2025-10-08,2.7,2.79,2.69,2.78,10781800
2025-10-09,2.78,2.797,2.67,2.67,8345100
2025-10-10,2.515,2.775,2.45,2.56,16493800
2025-10-13,2.6,2.645,2.52,2.63,6905300
2025-10-14,2.61,2.82,2.55,2.79,10435800
2025-10-15,2.8,2.83,2.725,2.8,7472300
2025-10-16,2.81,2.84,2.69,2.7,5486600
2025-10-17,2.65,2.73,2.63,2.71,7324300
2025-10-20,2.76,2.92,2.73,2.92,8827700
2025-10-21,2.93,3.37,2.91,3.22,23008800
2025-10-22,3.21,3.21,2.95,3.08,11855300
2025-10-23,3.08,3.215,3.05,3.2,6651500
2025-10-24,3.36,3.92,3.36,3.82,34321000
2025-10-27,3.859,3.91,3.691,3.81,12388200
2025-10-28,3.83,3.859,3.71,3.76,5783400
2025-10-29,3.76,3.776,3.62,3.64,9157300
2025-10-30,3.562,3.63,3.44,3.47,6953500
2025-10-31,3.51,3.545,3.44,3.53,7265400
2025-11-03,3.53,3.72,3.48,3.68,10392300
2025-11-04,3.59,3.68,3.47,3.52,11239800
2025-11-05,2.82,3.02,2.59,2.965,22349200
2025-11-06,2.99,2.99,2.59,2.61,15673900
2025-11-07,2.605,2.67,2.48,2.67,11677100
2025-11-10,2.69,2.69,2.58,2.6,7137500
2025-11-11,2.6,2.63,2.52,2.55,4962600
2025-11-12,2.56,2.615,2.505,2.51,6509700
2025-11-13,2.5,2.505,2.425,2.47,6620200
2025-11-14,2.39,2.48,2.38,2.47,7013900
2025-11-17,2.475,2.475,2.33,2.35,6293600
2025-11-18,2.31,2.36,2.3,2.35,5298600
2025-11-19,2.36,2.37,2.28,2.32,4618800
2025-11-20,2.388,2.43,2.16,2.16,6216100
2025-11-21,2.16,2.32,2.16,2.28,6235300
2025-11-24,2.3,2.435,2.285,2.4,5747500
2025-11-25,2.38,2.43,2.36,2.42,4162300
2025-11-26,2.43,2.45,2.39,2.45,3989900
2025-11-28,2.45,2.49,2.43,2.49,2507800
2025-12-01,2.45,2.52,2.41,2.5,5556200
2025-12-02,2.5,2.535,2.46,2.49,3065000
2025-12-03,2.5,2.63,2.48,2.62,4431400
2025-12-04,2.61,2.72,2.58,2.66,4740700
2025-12-05,2.66,2.67,2.57,2.58,4010900
2025-12-08,2.61,2.62,2.54,2.56,2643100
2025-12-09,2.56,2.63,2.54,2.59,2612500
2025-12-10,2.58,2.67,2.56,2.66,4402100
2025-12-11,2.68,2.8,2.67,2.75,4315800
2025-12-12,2.75,2.775,2.7,2.7,3474400
2025-12-15,2.72,2.74,2.61,2.62,4585000
2025-12-16,2.6,2.67,2.58,2.64,2905800
2025-12-17,2.63,2.735,2.58,2.6,6337900
2025-12-18,2.61,2.64,2.58,2.58,3684400
2025-12-19,2.61,2.61,2.555,2.58,6304500
2025-12-22,2.58,2.69,2.58,2.6,3507200
2025-12-23,2.56,2.59,2.51,2.52,2775700
2025-12-24,2.52,2.55,2.5,2.53,1424400
2025-12-26,2.53,2.55,2.495,2.51,2959000
2025-12-29,2.5,2.55,2.46,2.48,4258500
2025-12-30,2.47,2.5,2.38,2.39,5347400
2025-12-31,2.39,2.4,2.31,2.35,6724600
2026-01-02,2.38,2.45,2.35,2.41,3072100
2026-01-05,2.46,2.61,2.43,2.59,6582800
2026-01-06,2.59,2.73,2.52,2.59,7237600
2026-01-07,2.6,2.639,2.49,2.5,4419800
2026-01-08,2.51,2.58,2.49,2.53,3930600
2026-01-09,2.53,2.62,2.515,2.6,4203300
2026-01-12,2.6,2.66,2.51,2.64,3544800
2026-01-13,2.65,2.66,2.51,2.54,4690500
2026-01-14,2.68,2.88,2.68,2.81,13223700
2026-01-15,2.8,2.8,2.61,2.62,6996700
2026-01-16,2.63,2.68,2.525,2.54,9163100
2026-01-20,2.5,2.64,2.45,2.59,5061100
2026-01-21,2.6,2.67,2.53,2.62,5846700
2026-01-22,2.62,2.73,2.62,2.68,4690900
2026-01-23,2.68,2.68,2.58,2.59,4551900
2026-01-26,2.57,2.6,2.48,2.49,7842000
2026-01-27,2.425,2.43,2.29,2.36,10861400
2026-01-28,2.37,2.385,2.28,2.31,6559400
2026-01-29,2.33,2.33,2.25,2.27,5229000
2026-01-30,2.25,2.29,2.21,2.24,6786300
2026-02-02,2.22,2.27,2.2,2.2,7674700
2026-02-03,2.21,2.23,2.09,2.15,9084800
2026-02-04,2.16,2.17,2.05,2.11,8269100
2026-02-05,2.09,2.1,2.03,2.04,6895000
2026-02-06,2.05,2.14,2.04,2.13,7443600
2026-02-09,2.12,2.12,2.05,2.09,4548600
2026-02-10,2.1,2.19,2.09,2.12,5376600
2026-02-11,2.12,2.137,2.04,2.05,5570800
2026-02-12,2.05,2.07,2.01,2.02,5614400
2026-02-13,2.05,2.095,2.015,2.02,4385600
2026-02-17,2.02,2.07,2.02,2.04,4320800
2026-02-18,2.05,2.13,2.05,2.09,3680600
2026-02-19,2.1,2.11,2.05,2.09,3497400
2026-02-20,2.08,2.11,2.02,2.02,4192700
2026-02-23,2.0,2.04,1.95,1.97,5503200
2026-02-24,2.03,2.03,1.94,2.01,5523100
2026-02-25,2.07,2.11,2.025,2.09,4796900
2026-02-26,2.11,2.17,2.08,2.15,8306800
2026-02-27,2.06,2.25,2.01,2.09,9752600
2026-03-02,2.05,2.08,1.98,2.04,5710600
2026-03-03,2.0,2.03,1.93,2.0,6568400
2026-03-04,2.04,2.23,2.02,2.16,7138200
2026-03-05,2.16,2.16,2.03,2.07,3941200
2026-03-06,2.04,2.05,1.98,2.0,5864100
2026-03-09,1.97,2.005,1.92,2.0,6754800
2026-03-10,2.03,2.05,1.97,1.99,3849600
2026-03-11,1.97,2.03,1.955,2.02,3799100
2026-03-12,2.01,2.02,1.96,1.97,3744300
2026-03-13,2.01,2.03,1.97,1.98,4452000
2026-03-16,2.0,2.03,1.96,1.97,8625400
2026-03-17,1.98,1.99,1.9,1.93,7621200
2026-03-18,1.9,1.99,1.86,1.88,7071200
2026-03-19,1.86,1.926,1.85,1.89,6225900
2026-03-20,1.91,1.94,1.85,1.89,8188600
2026-03-23,1.92,1.94,1.85,1.85,4814500
2026-03-24,1.84,1.865,1.78,1.82,7295600
2026-03-25,1.85,1.88,1.8,1.82,3609600
2026-03-26,1.8,1.865,1.795,1.8,3747100
2026-03-27,1.79,1.8,1.74,1.75,3694500
2026-03-30,1.72,1.74,1.7,1.72,4202400
2026-03-31,1.729,1.79,1.695,1.76,6837300
2026-04-01,1.74,1.76,1.58,1.7,9158400
2026-04-02,1.67,1.76,1.66,1.72,3286000
2026-04-06,1.73,1.93,1.73,1.87,7806300
2026-04-07,1.93,2.0,1.87,1.9,7510100
2026-04-08,1.97,2.01,1.89,1.92,5961800
2026-04-09,1.9,1.94,1.89,1.91,2249100
2026-04-10,1.93,1.95,1.9,1.93,4795700
2026-04-13,1.88,2.04,1.874,2.03,3832200
2026-04-14,2.03,2.115,2.025,2.04,3618900
2026-04-15,2.05,2.16,2.05,2.15,4957000
2026-04-16,2.16,2.22,2.145,2.16,4969700
2026-04-17,2.21,2.24,2.17,2.19,5597600
2026-04-20,2.18,2.25,2.17,2.23,3177500
2026-04-21,2.3,2.48,2.3,2.39,11813300
2026-04-22,2.41,2.5,2.409,2.5,7763600
2026-04-23,2.5,2.55,2.38,2.4,6601600
2026-04-24,2.4,2.46,2.35,2.43,4193300
2026-04-27,2.4,2.575,2.37,2.52,5522700
2026-04-28,2.53,2.64,2.495,2.64,5635900
2026-04-29,2.59,2.605,2.49,2.58,5445800
2026-04-30,2.56,2.75,2.54,2.75,6919000
2026-05-01,2.75,2.775,2.63,2.71,4882200
2026-05-04,2.69,2.755,2.64,2.65,3341800
2026-05-05,2.66,2.66,2.59,2.61,4201800
2026-05-06,2.61,2.71,2.57,2.68,5476200
2026-05-07,2.76,2.88,2.71,2.82,8332500
2026-05-08,2.81,3.145,2.72,3.12,10388500
2026-05-11,3.08,3.29,3.05,3.2,9941700
2026-05-12,3.22,3.36,3.2,3.28,7567900
2026-05-13,3.26,3.645,3.253,3.55,13665800
2026-05-14,3.55,3.7,3.41,3.49,11486200
2026-05-15,3.44,3.5,3.36,3.47,10672000
2026-05-18,3.4,3.52,3.283,3.39,8080200
2026-05-19,3.36,3.59,3.31,3.5,7226100
2026-05-20,3.48,3.64,3.48,3.59,6096300
2026-05-21,3.56,3.65,3.531,3.6,5522500
2026-05-22,3.59,3.695,3.54,3.55,4736100
2026-05-26,3.535,3.66,3.45,3.61,6928200
2026-05-27,3.63,3.635,3.52,3.59,4914800
2026-05-28,3.64,4.23,3.64,4.18,21279000
2026-05-29,4.13,4.195,3.88,3.98,10163900
2026-06-01,3.96,4.08,3.91,3.92,5756400
2026-06-02,3.86,3.91,3.725,3.73,5946900
2026-06-03,3.7,3.72,3.575,3.65,6967900
2026-06-04,3.65,4.015,3.63,3.99,7458600
2026-06-05,3.93,3.995,3.83,3.83,4783700
2026-06-08,3.82,3.95,3.81,3.92,4179500
2026-06-09,3.92,4.44,3.92,4.29,15054200
2026-06-10,4.56,5.14,4.53,4.89,26265000
2026-06-11,5.12,5.18,4.78,4.9,16891300
2026-06-12,4.8,4.88,4.57,4.73,10502500
2026-06-15,4.72,4.955,4.5,4.81,7145600
2026-06-16,4.82,5.06,4.805,4.94,8099200
2026-06-17,4.89,4.92,4.72,4.8,7264600
2026-06-18,4.87,5.03,4.84,5.0,7152200
2026-06-22,4.95,5.22,4.926,5.14,6937200
2026-06-23,5.05,5.35,4.97,5.06,8481400
2026-06-24,5.12,5.315,5.065,5.21,8272500
2026-06-25,5.21,5.28,5.125,5.21,4720700
2026-06-26,5.21,5.49,5.18,5.41,15084500
2026-06-29,5.41,5.59,5.22,5.31,8461900
2026-06-30,5.36,5.36,5.21,5.24,5570600
2026-07-01,5.24,5.545,5.12,5.39,7999500
2026-07-02,5.4,5.51,5.2,5.26,5881200
2026-07-06,5.26,5.34,5.022,5.06,7259700
2026-07-07,5.02,5.205,4.96,5.0,5713800
2026-07-08,4.92,4.98,4.63,4.66,7391300
2026-07-09,4.655,4.84,4.63,4.68,4668900
2026-07-10,4.67,4.68,4.35,4.44,6009900
2026-07-13,4.384,4.575,4.384,4.57,4808000
2026-07-14,4.64,4.83,4.6,4.82,4917500
2026-07-15,4.77,4.79,4.595,4.68,4674300
2026-07-16,4.73,4.805,4.4,4.4,5273400
2026-07-17,4.32,4.64,4.32,4.62,5434900
2026-07-20,4.63,4.635,4.46,4.5,3784000
2026-07-21,4.62,4.878,4.58,4.79,4361100
2026-07-22,4.75,4.83,4.655,4.67,3668200
2026-07-23,4.67,4.69,4.485,4.55,3580900
2026-07-24,4.6,4.6,4.32,4.32,2958600
2026-07-27,4.35,4.45,4.265,4.27,3495800
2026-07-28,4.25,4.385,4.12,4.335,3845200
2026-07-29,4.29,4.375,4.14,4.23,5046100
2026-07-30,4.23,4.36,4.19,4.34,2514400
2026-07-31,4.345,4.345,4.16,4.17,3542400
2026-08-03,4.23,4.375,4.17,4.33,3930200
2026-08-04,4.33,4.36,4.25,4.27,3661100
2026-08-05,4.26,4.31,4.12,4.14,4605500
2026-08-06,4.89,5.19,4.52,4.66,11636700
2026-08-07,4.72,4.92,4.62,4.76,7673400
2026-08-10,4.69,4.79,4.5,4.57,5483200
2026-08-11,4.55,4.59,4.34,4.39,4330400
2026-08-12,4.37,4.54,4.36,4.54,4759000
2026-08-13,4.5,4.61,4.46,4.49,3274400
2026-08-14,4.49,4.635,4.45,4.6,3657500
2026-08-17,4.55,4.57,4.15,4.27,5377600
2026-08-18,4.24,4.35,4.2,4.23,3429900
2026-08-19,4.29,4.37,4.16,4.22,2883500
2026-08-20,4.18,4.26,4.095,4.1,3908200
2026-08-21,4.14,4.18,4.085,4.15,2711800
2026-08-24,4.15,4.18,4.08,4.11,2759900
2026-08-25,4.16,4.19,4.035,4.13,2706800
2026-08-26,4.1,4.313,4.1,4.25,3200100
2026-08-27,4.32,4.345,4.225,4.23,3380600
2026-08-28,4.18,4.29,4.17,4.23,4176500
2026-08-31,4.21,4.25,4.14,4.15,3601100
2026-09-01,4.16,4.355,4.16,4.3,3562200
2026-09-02,4.295,4.365,4.225,4.3,3319300
2026-09-03,4.34,4.37,4.22,4.255,2945400
2026-09-04,4.23,4.285,4.22,4.255,2065500
2026-09-08,4.23,4.335,4.12,4.29,3045500
2026-09-09,4.27,4.36,4.13,4.34,4391400
2026-09-10,4.48,4.77,4.46,4.71,6702226
