Date,Open,High,Low,Close,Volume
2025-03-07,76.93,78.08,76.12,76.88,147600
2025-03-10,75.86,77.57,74.54,75.52,164900
2025-03-11,75.7,76.63,73.8,76.08,155700
2025-03-12,76.17,76.96,74.13,74.43,200700
2025-03-13,74.98,75.31,71.63,72.66,237800
2025-03-14,74.34,78.44,73.6,78.39,300000
2025-03-17,77.69,79.7,76.89,78.46,239300
2025-03-18,77.95,80.03,76.74,77.79,300200
2025-03-19,78.21,78.21,74.55,75.1,227400
2025-03-20,74.52,76.78,74.23,74.53,177400
2025-03-21,73.35,74.13,71.95,72.24,437100
2025-03-24,73.57,74.54,72.83,73.26,208000
2025-03-25,73.15,73.47,70.66,70.82,253300
2025-03-26,70.87,71.74,68.87,70.15,479200
2025-03-27,70.1,71.33,68.26,70.82,209900
2025-03-28,70.51,70.65,67.4,67.58,163500
2025-03-31,67.75,68.27,65.7,67.53,298800
2025-04-01,67.25,69.23,66.42,67.21,268600
2025-04-02,66.27,69.64,66.27,69.49,204800
2025-04-03,65.93,66.11,60.72,61.71,389600
2025-04-04,58.97,61.34,56.13,60.92,504100
2025-04-07,58.09,64.67,56.91,62.86,619700
2025-04-08,65.1,65.44,56.98,58.09,373100
2025-04-09,57.32,64.56,56.45,61.92,715100
2025-04-10,59.84,59.91,54.08,55.23,408200
2025-04-11,55.37,56.56,53.05,56.24,355900
2025-04-14,57.93,57.93,54.6,55.7,301700
2025-04-15,55.19,55.71,53.81,54.2,325600
2025-04-16,53.68,53.68,51.43,52.69,378600
2025-04-17,52.57,54.16,52.3,53.92,376800
2025-04-21,53.0,54.77,52.19,54.05,473300
2025-04-22,54.8,55.51,53.96,55.23,457200
2025-04-23,57.72,58.15,54.78,55.06,362800
2025-04-24,55.11,57.14,54.75,57.05,500100
2025-04-25,56.45,57.71,56.14,57.41,187600
2025-04-28,56.95,57.93,56.76,57.7,273300
2025-04-29,57.57,59.73,56.94,59.43,404700
2025-04-30,61.73,62.67,59.37,61.81,603700
2025-05-01,62.18,63.8,60.9,63.7,390900
2025-05-02,65.25,66.64,63.94,63.98,317400
2025-05-05,63.49,63.96,62.3,62.32,283400
2025-05-06,61.39,63.78,61.39,62.92,365200
2025-05-07,63.47,64.03,62.74,63.6,408000
2025-05-08,64.59,65.97,63.73,65.38,306400
2025-05-09,65.41,66.12,65.05,65.98,194100
2025-05-12,69.45,70.84,69.03,70.26,210900
2025-05-13,70.72,71.1,70.0,71.0,188700
2025-05-14,70.84,71.27,69.74,69.92,189400
2025-05-15,69.42,70.47,69.04,69.77,223300
2025-05-16,69.69,70.39,69.11,69.86,153300
2025-05-19,68.16,68.82,67.73,68.49,121300
2025-05-20,68.3,68.86,68.06,68.55,106800
2025-05-21,67.45,68.44,66.23,66.63,136800
2025-05-22,66.31,67.51,65.83,67.05,108200
2025-05-23,65.44,65.93,65.19,65.41,117000
2025-05-27,66.83,68.22,66.13,67.99,139600
2025-05-28,67.99,67.99,66.55,66.55,146900
2025-05-29,67.45,67.68,66.23,67.33,137400
2025-05-30,66.74,67.15,66.06,66.57,179900
2025-06-02,65.73,66.42,65.09,65.74,152000
2025-06-03,65.78,67.58,65.75,67.39,91400
2025-06-04,67.12,67.77,66.95,67.34,95500
2025-06-05,67.31,67.35,65.78,66.46,409200
2025-06-06,67.87,68.18,66.32,67.01,169400
2025-06-09,67.85,69.93,67.21,69.2,174100
2025-06-10,70.0,71.28,69.36,70.56,130400
2025-06-11,71.19,71.56,70.57,71.02,170400
2025-06-12,69.93,70.86,69.93,70.35,168700
2025-06-13,70.25,70.5,67.86,68.26,254700
2025-06-16,68.98,70.24,68.56,69.85,207800
2025-06-17,69.55,69.97,67.67,67.71,137600
2025-06-18,67.61,69.2,67.59,68.22,190600
2025-06-20,68.79,68.79,66.38,66.99,217100
2025-06-23,66.6,67.86,65.4,67.65,97900
2025-06-24,68.48,69.81,68.08,68.79,126100
2025-06-25,69.03,69.11,67.83,68.45,86200
2025-06-26,68.68,69.4,68.54,69.17,96400
2025-06-27,69.32,69.78,67.84,68.55,145000
2025-06-30,68.65,69.08,68.23,68.48,113600
2025-07-01,68.06,72.83,68.02,71.1,160400
2025-07-02,71.6,73.59,70.37,73.35,137100
2025-07-03,74.1,74.17,72.44,73.44,90300
2025-07-07,72.53,73.36,70.87,71.0,106200
2025-07-08,71.85,74.1,71.85,73.16,96000
2025-07-09,72.94,73.56,71.36,73.42,102600
2025-07-10,73.7,75.0,73.39,73.69,98300
2025-07-11,73.02,73.68,72.12,73.27,99500
2025-07-14,71.26,71.87,65.95,67.82,435500
2025-07-15,68.92,68.92,64.94,65.64,297600
2025-07-16,66.1,66.72,64.59,65.76,223400
2025-07-17,66.0,67.17,66.0,66.5,334800
2025-07-18,67.12,67.12,64.82,65.5,357800
2025-07-21,66.17,66.47,64.69,64.78,201700
2025-07-22,64.81,67.96,64.81,67.12,220400
2025-07-23,68.19,68.66,66.94,67.56,141700
2025-07-24,66.88,67.22,65.25,65.5,121700
2025-07-25,65.84,65.84,64.85,65.28,153200
2025-07-28,65.69,66.77,64.46,66.15,576300
2025-07-29,66.14,67.07,66.0,66.41,368700
2025-07-30,66.41,68.89,66.14,66.4,386000
2025-07-31,65.31,67.02,64.99,65.58,395900
2025-08-01,66.27,67.39,61.17,67.3,880800
2025-08-04,67.49,69.71,66.97,69.67,286200
2025-08-05,70.04,71.42,68.76,71.3,427200
2025-08-06,71.45,72.4,69.6,70.51,519100
2025-08-07,76.0,76.89,72.08,72.19,397200
2025-08-08,71.99,72.88,69.32,70.21,330600
2025-08-11,70.45,71.29,69.61,69.85,200900
2025-08-12,70.12,74.92,70.12,74.85,208800
2025-08-13,74.92,78.22,74.41,77.95,238600
2025-08-14,75.89,76.8,73.97,76.52,461700
2025-08-15,76.72,77.13,75.53,76.64,209100
2025-08-18,76.92,77.6,75.68,75.78,213900
2025-08-19,76.3,77.87,75.97,76.91,244300
2025-08-20,76.23,77.29,73.34,74.01,215000
2025-08-21,73.5,75.11,72.49,74.77,155000
2025-08-22,75.14,80.1,75.14,79.54,291300
2025-08-25,79.32,79.42,77.81,78.51,217300
2025-08-26,78.46,80.52,78.38,79.37,257100
2025-08-27,78.88,80.0,78.56,79.45,174100
2025-08-28,79.8,79.8,78.36,78.41,154300
2025-08-29,78.59,79.56,77.85,78.46,251100
2025-09-02,77.19,78.39,76.3,77.37,212500
2025-09-03,76.83,78.09,76.42,76.92,218100
2025-09-04,77.57,80.23,76.66,79.73,249100
2025-09-05,80.09,81.37,78.49,78.76,158800
2025-09-08,78.91,79.22,77.52,78.45,189900
2025-09-09,77.99,79.63,77.0,79.38,168200
2025-09-10,79.82,80.5,78.75,79.35,127300
2025-09-11,79.63,84.29,79.52,83.94,375200
2025-09-12,83.4,83.4,80.85,81.0,333900
2025-09-15,81.07,82.92,80.16,81.64,162400
2025-09-16,81.78,82.5,80.79,82.11,151100
2025-09-17,82.12,82.96,80.45,81.84,217800
2025-09-18,83.21,84.67,82.86,83.49,166300
2025-09-19,83.41,84.13,81.21,81.75,315300
2025-09-22,82.09,82.09,81.05,81.55,196500
2025-09-23,82.64,83.58,78.32,78.33,133800
2025-09-24,78.4,80.28,78.4,79.71,186100
2025-09-25,78.95,79.63,77.82,78.93,165700
2025-09-26,78.57,80.35,78.57,80.04,132000
2025-09-29,80.36,80.79,79.23,80.25,222800
2025-09-30,80.14,80.8,79.19,80.46,117000
2025-10-01,80.52,83.1,79.89,81.83,176700
2025-10-02,82.56,83.27,80.79,82.2,135900
2025-10-03,82.77,84.33,82.3,83.07,180300
2025-10-06,83.91,84.6,83.18,84.49,125700
2025-10-07,85.88,85.88,81.25,82.39,186200
2025-10-08,82.43,85.18,82.43,84.53,104800
2025-10-09,84.75,84.75,82.93,84.13,63200
2025-10-10,84.22,84.65,80.74,81.57,161400
2025-10-13,83.11,84.61,82.38,84.57,149200
2025-10-14,83.33,85.09,83.07,83.78,86800
2025-10-15,84.3,86.72,84.01,86.34,105700
2025-10-16,86.77,87.16,85.43,85.43,137000
2025-10-17,84.48,85.88,83.62,84.14,82400
2025-10-20,84.81,86.57,84.81,85.82,70500
2025-10-21,86.1,86.49,84.98,85.17,97800
2025-10-22,85.09,85.74,83.68,84.61,110300
2025-10-23,84.85,87.39,84.85,87.06,71700
2025-10-24,87.26,87.93,86.06,86.36,134600
2025-10-27,87.08,87.59,85.4,86.45,101200
2025-10-28,86.1,86.1,83.62,85.75,102900
2025-10-29,86.41,86.68,81.31,83.59,895000
2025-10-30,90.68,98.08,87.59,88.27,490100
2025-10-31,88.18,89.12,84.4,87.54,440600
2025-11-03,87.51,88.22,82.55,82.8,283500
2025-11-04,81.23,83.88,80.0,82.32,224800
2025-11-05,83.21,85.88,82.9,85.68,141700
2025-11-06,85.3,86.33,83.25,84.45,156700
2025-11-07,84.11,84.48,82.98,84.28,204900
2025-11-10,85.34,86.25,83.93,85.06,131400
2025-11-11,84.35,85.46,83.41,84.05,174400
2025-11-12,84.33,85.55,81.92,82.27,114400
2025-11-13,82.11,82.64,78.87,79.29,141000
2025-11-14,78.0,79.29,76.89,78.35,135400
2025-11-17,78.13,79.03,76.55,76.8,134300
2025-11-18,76.94,79.57,76.53,79.24,166500
2025-11-19,79.62,80.13,76.94,77.11,153500
2025-11-20,78.82,79.5,75.14,75.56,99800
2025-11-21,75.8,80.96,75.8,80.08,182000
2025-11-24,79.78,80.53,78.82,79.98,190100
2025-11-25,80.79,82.54,80.49,81.65,111400
2025-11-26,80.93,84.02,80.93,82.42,201600
2025-11-28,83.35,83.98,81.97,83.81,65300
2025-12-01,82.67,84.84,82.24,84.49,120500
2025-12-02,84.93,87.35,84.21,86.45,100600
2025-12-03,86.51,88.8,86.51,87.87,131600
2025-12-04,87.45,88.84,86.84,87.2,75100
2025-12-05,86.45,87.9,86.27,86.99,61900
2025-12-08,87.15,87.45,85.09,85.39,109000
2025-12-09,85.29,87.81,85.29,87.39,102800
2025-12-10,87.39,91.84,87.39,91.7,153900
2025-12-11,91.7,94.78,91.47,94.67,248200
2025-12-12,95.0,95.0,91.55,93.1,224900
2025-12-15,93.55,93.55,88.58,91.75,319500
2025-12-16,91.59,92.78,91.32,92.34,129900
2025-12-17,92.0,93.5,90.7,91.83,202500
2025-12-18,92.77,93.32,91.4,92.37,132500
2025-12-19,92.07,93.65,91.03,93.65,307000
2025-12-22,94.1,95.12,93.57,93.87,148000
2025-12-23,92.69,93.86,92.18,93.4,108500
2025-12-24,93.09,94.41,93.09,94.03,33300
2025-12-26,93.57,94.37,92.86,94.26,84200
2025-12-29,93.51,93.91,92.44,93.83,81900
2025-12-30,93.89,94.19,93.08,93.55,75000
2025-12-31,93.72,93.72,91.33,91.57,89300
2026-01-02,92.51,94.34,90.79,91.97,200600
2026-01-05,92.1,94.89,92.1,93.42,102200
2026-01-06,92.49,96.4,92.49,96.34,147000
2026-01-07,96.11,96.11,92.92,93.1,83000
2026-01-08,92.4,94.78,91.87,93.88,100900
2026-01-09,93.66,96.18,93.66,95.73,125700
2026-01-12,95.35,97.16,94.96,96.43,93800
2026-01-13,96.89,99.83,96.6,97.34,193300
2026-01-14,97.62,99.85,96.88,99.65,126000
2026-01-15,100.1,102.29,100.03,100.89,126500
2026-01-16,100.86,100.86,98.29,99.09,108000
2026-01-20,98.99,100.74,98.21,99.9,100700
2026-01-21,100.81,102.68,98.96,100.34,275600
2026-01-22,101.1,103.15,98.12,98.25,281500
2026-01-23,98.01,99.33,93.98,94.9,395700
2026-01-26,95.67,98.79,94.85,98.1,136700
2026-01-27,98.19,98.75,97.35,97.54,60500
2026-01-28,97.71,98.67,95.21,96.06,95900
2026-01-29,96.95,99.63,96.23,99.19,127900
2026-01-30,97.76,98.97,96.23,97.24,131200
2026-02-02,97.6,98.98,96.74,98.0,152900
2026-02-03,98.93,100.55,97.74,100.5,96700
2026-02-04,102.36,103.16,99.87,102.51,231900
2026-02-05,102.35,103.98,101.2,102.1,201500
2026-02-06,103.35,107.05,103.35,105.93,159400
2026-02-09,105.81,106.44,104.46,106.1,106200
2026-02-10,105.99,107.71,104.83,106.0,105800
2026-02-11,106.93,111.0,106.75,110.2,141100
2026-02-12,111.41,112.81,108.47,108.98,127900
2026-02-13,108.71,108.71,104.46,107.79,201900
2026-02-17,104.17,106.29,102.46,103.13,302200
2026-02-18,106.22,111.18,102.15,107.2,299000
2026-02-19,105.98,112.34,105.57,111.11,210700
2026-02-20,111.04,112.59,107.1,107.49,167700
2026-02-23,106.01,107.63,102.64,106.21,194500
2026-02-24,107.25,108.76,106.55,108.22,133400
2026-02-25,109.48,111.18,108.6,109.77,157300
2026-02-26,110.1,111.05,107.44,108.33,183600
2026-02-27,106.51,107.9,106.02,107.83,163000
2026-03-02,106.66,111.92,106.66,111.91,250800
2026-03-03,108.61,111.25,105.96,110.67,145200
2026-03-04,111.87,111.99,108.89,109.78,139000
2026-03-05,107.86,109.78,104.9,109.42,239800
2026-03-06,105.35,106.91,101.77,103.58,161200
2026-03-09,102.03,104.9,99.85,104.77,126000
2026-03-10,104.05,107.42,104.05,105.55,88700
2026-03-11,105.41,106.16,104.2,105.01,80600
2026-03-12,103.32,104.32,102.32,103.12,85500
2026-03-13,104.17,104.83,101.48,102.48,144500
2026-03-16,104.1,105.0,101.4,101.82,198300
2026-03-17,102.45,104.06,98.86,101.01,273700
2026-03-18,100.77,104.09,99.92,100.74,189400
2026-03-19,99.1,103.34,98.78,102.43,143000
2026-03-20,102.51,102.51,97.06,98.58,322400
2026-03-23,99.48,103.19,99.48,102.4,195300
2026-03-24,101.57,105.22,101.57,104.49,176300
2026-03-25,105.87,109.85,104.23,109.71,223900
2026-03-26,108.18,110.72,107.75,109.29,154100
2026-03-27,108.22,110.0,106.84,109.33,162100
2026-03-30,110.57,110.57,105.36,106.0,106200
2026-03-31,107.24,109.61,106.0,107.33,91900
2026-04-01,107.73,109.39,105.33,106.04,156100
2026-04-02,104.62,106.3,103.89,105.5,245800
2026-04-06,105.48,106.7,103.66,105.8,140000
2026-04-07,105.33,107.66,104.55,107.49,188200
2026-04-08,111.07,114.68,108.76,114.06,263300
2026-04-09,113.92,116.89,113.08,115.55,112900
2026-04-10,116.54,118.79,115.32,117.96,178400
2026-04-13,117.84,119.37,116.32,119.05,146600
2026-04-14,119.14,120.0,116.57,117.97,139100
2026-04-15,117.03,117.8,115.13,117.8,123400
2026-04-16,117.58,118.98,117.11,118.98,148800
2026-04-17,120.0,122.58,120.0,122.34,303300
2026-04-20,122.54,125.15,122.34,124.73,121100
2026-04-21,125.38,127.67,122.39,123.48,256600
2026-04-22,124.81,125.5,120.69,120.72,326200
2026-04-23,122.88,131.76,122.88,128.42,392600
2026-04-24,129.93,133.78,127.49,131.46,173200
2026-04-27,132.18,132.73,128.69,132.5,391900
2026-04-28,131.32,133.69,127.84,129.42,467500
2026-04-29,131.4,132.44,123.45,127.35,507500
2026-04-30,128.52,136.14,127.33,135.75,361300
2026-05-01,135.76,137.94,133.89,134.44,203700
2026-05-04,134.28,135.12,132.12,135.0,259700
2026-05-05,136.23,138.87,133.75,138.18,203000
2026-05-06,139.56,143.81,136.53,140.59,510300
2026-05-07,142.99,144.46,135.94,137.26,270300
2026-05-08,138.34,141.63,138.18,140.66,137300
2026-05-11,141.8,142.57,137.42,138.52,322700
2026-05-12,138.48,139.15,133.31,138.43,246200
2026-05-13,139.44,143.57,136.95,143.1,177300
2026-05-14,143.79,144.29,139.78,142.83,193500
2026-05-15,139.85,141.55,136.75,139.71,198900
2026-05-18,140.78,140.78,133.49,133.8,349300
2026-05-19,130.0,133.9,128.45,130.8,340600
2026-05-20,131.79,133.28,128.83,133.0,569300
2026-05-21,132.41,135.2,131.41,132.4,220300
2026-05-22,133.65,136.7,133.19,135.13,158800
2026-05-26,137.99,145.67,136.71,144.04,448200
2026-05-27,145.04,146.09,140.27,145.85,261400
2026-05-28,146.58,148.44,142.17,144.94,450400
2026-05-29,144.51,146.02,138.52,141.52,275800
2026-06-01,140.32,147.26,140.0,147.02,301800
2026-06-02,149.99,155.67,148.45,154.22,368900
2026-06-03,152.18,153.81,148.0,148.0,223800
2026-06-04,145.59,147.71,143.21,145.78,142600
2026-06-05,143.93,147.9,137.67,137.67,192400
2026-06-08,140.55,141.57,138.76,140.92,182600
2026-06-09,143.73,147.87,135.52,140.79,208200
2026-06-10,141.46,143.87,136.73,137.47,380600
2026-06-11,139.89,146.09,139.35,145.99,211700
2026-06-12,146.34,153.14,146.34,151.06,360300
2026-06-15,155.99,160.45,154.4,154.93,478000
2026-06-16,157.19,162.67,155.06,161.14,608900
2026-06-17,161.2,168.94,155.8,158.48,570100
2026-06-18,161.73,165.14,160.1,162.68,414600
2026-06-22,164.94,169.0,163.03,166.51,393100
2026-06-23,160.21,163.98,158.68,159.14,316700
2026-06-24,159.51,164.52,158.58,162.14,283500
2026-06-25,166.56,168.98,162.93,167.09,249600
2026-06-26,163.95,164.04,158.46,160.53,581500
2026-06-29,158.56,164.91,155.24,164.62,264800
2026-06-30,165.29,167.27,163.4,163.73,472000
2026-07-01,161.27,162.81,157.0,157.08,267400
2026-07-02,156.43,157.93,143.42,143.9,243100
2026-07-06,145.93,147.6,140.33,141.1,239200
2026-07-07,137.66,137.7,131.03,133.39,248300
2026-07-08,132.27,137.78,131.53,135.41,359700
2026-07-09,139.5,141.28,137.0,139.04,274300
2026-07-10,137.25,140.22,135.75,137.52,156600
2026-07-13,135.64,137.23,134.02,134.83,165500
2026-07-14,138.78,140.51,137.07,137.59,235100
2026-07-15,140.84,140.84,136.03,138.39,196400
2026-07-16,135.15,137.39,132.48,134.08,200000
2026-07-17,130.32,133.81,128.3,132.24,533600
2026-07-20,133.04,134.65,129.89,130.82,227000
2026-07-23,134.62,136.74,132.28,133.04,229800
2026-07-24,133.0,133.9,129.55,130.69,244700
2026-07-27,131.38,132.67,124.66,129.32,229400
2026-07-28,126.49,126.97,119.0,119.18,337100
2026-07-29,120.07,130.12,114.53,116.79,573200
2026-07-30,121.46,125.38,119.01,122.14,230200
2026-08-03,121.56,125.85,120.37,125.59,296400
2026-08-04,128.87,133.07,127.62,132.37,291200
2026-08-05,133.14,135.2,130.16,132.18,250500
2026-08-06,131.67,135.21,130.7,133.73,195100
2026-08-07,135.74,136.12,133.17,134.49,128500
2026-08-10,134.56,134.56,128.27,128.41,107600
2026-08-11,130.97,135.2,130.97,135.06,256600
2026-08-12,139.36,140.59,136.79,138.58,246900
2026-08-13,138.79,140.21,137.05,137.71,140100
2026-08-14,140.6,143.9,138.96,142.91,160800
2026-08-17,142.9,145.99,142.9,145.94,195800
2026-08-18,141.16,142.47,135.49,136.75,208500
2026-08-19,138.12,138.64,131.23,132.4,73581
